,RegATest,,,,,,
0:08:52,-0.70121,,,,,,
0:08:54,-0.69049,,,,,,
0:08:56,-0.67995,,,,,,
0:08:58,-0.66971,,,,,,
0:09:00,-0.66006,,,,,,
0:09:02,-0.65092,,,,,,
0:09:04,-0.64229,,,,,,
0:09:06,-0.63412,,,,,,
0:09:08,-0.62635,,,,,,
0:09:10,-0.61897,,,,,,
0:09:12,-0.61201,,,,,,
0:09:14,-0.60562,,,,,,
0:09:16,-0.59988,,,,,,
0:09:18,-0.59485,,,,,,
0:09:20,-0.59364,,,,,,
0:09:22,-0.58763,,,,,,
0:09:24,-0.58313,,,,,,
0:09:26,-0.58003,,,,,,
0:09:28,-0.57721,,,,,,
0:09:30,-0.57468,,,,,,
0:09:32,-0.57241,,,,,,
0:09:34,-0.57020,,,,,,
0:09:36,-0.56966,,,,,,
0:09:38,-0.56561,,,,,,
0:09:40,-0.56429,,,,,,
0:09:42,-0.55989,,,,,,
0:09:44,-0.55841,,,,,,
0:09:46,-0.55623,,,,,,
0:09:48,-0.55347,,,,,,
0:09:50,-0.55085,,,,,,
0:09:52,-0.54813,,,,,,
0:09:54,-0.54509,,,,,,
0:09:56,-0.54163,,,,,,
0:09:58,-0.53780,,,,,,
0:10:00,-0.53371,,,,,,
0:10:02,-0.52947,,,,,,
0:10:04,-0.52516,,,,,,
0:10:06,-0.52100,,,,,,
0:10:08,-0.51450,,,,,,
0:10:10,-0.51002,,,,,,
0:10:12,-0.50639,,,,,,
0:10:14,-0.50282,,,,,,
0:10:16,-0.49911,,,,,,
0:10:18,-0.49524,,,,,,
0:10:20,-0.49127,,,,,,
0:10:22,-0.48717,,,,,,
0:10:24,-0.48299,,,,,,
0:10:26,-0.47864,,,,,,
0:10:28,-0.47423,,,,,,
0:10:30,-0.46979,,,,,,
0:10:32,-0.46541,,,,,,
0:10:34,-0.46101,,,,,,
0:10:36,-0.45646,,,,,,
0:10:38,-0.45189,,,,,,
0:10:40,-0.44734,,,,,,
0:10:42,-0.44280,,,,,,
0:10:44,-0.43835,,,,,,
0:10:46,-0.43415,,,,,,
0:10:48,-0.43015,,,,,,
0:10:50,-0.42642,,,,,,
0:10:52,-0.42302,,,,,,
0:10:54,-0.41983,,,,,,
0:10:56,-0.41691,,,,,,
0:10:58,-0.41411,,,,,,
0:11:00,-0.41123,,,,,,
0:11:02,-0.40822,,,,,,
0:11:04,-0.40517,,,,,,
0:11:06,-0.40207,,,,,,
0:11:08,-0.39891,,,,,,
0:11:10,-0.39572,,,,,,
0:11:12,-0.39242,,,,,,
0:11:14,-0.38896,,,,,,
0:11:16,-0.38540,,,,,,
0:11:18,-0.38172,,,,,,
0:11:20,-0.38079,,,,,,
0:11:22,-0.37511,,,,,,
0:11:24,-0.37030,,,,,,
0:11:26,-0.36632,,,,,,
0:11:28,-0.36235,,,,,,
0:11:30,-0.35849,,,,,,
0:11:32,-0.35472,,,,,,
0:11:34,-0.35101,,,,,,
0:11:36,-0.34732,,,,,,
0:11:38,-0.34357,,,,,,
0:11:40,-0.33980,,,,,,
0:11:42,-0.33609,,,,,,
0:11:44,-0.33227,,,,,,
0:11:46,-0.33129,,,,,,
0:11:48,-0.32524,,,,,,
0:11:50,-0.32002,,,,,,
0:11:52,-0.31893,,,,,,
0:11:54,-0.31267,,,,,,
0:11:56,-0.31051,,,,,,
0:11:58,-0.30425,,,,,,
0:12:00,-0.29886,,,,,,
0:12:02,-0.29451,,,,,,
0:12:04,-0.29014,,,,,,
0:12:06,-0.28582,,,,,,
0:12:08,-0.28139,,,,,,
0:12:10,-0.27674,,,,,,
0:12:12,-0.27185,,,,,,
0:12:14,-0.26663,,,,,,
0:12:16,-0.26097,,,,,,
0:12:18,-0.25487,,,,,,
0:12:20,-0.25329,,,,,,
0:12:22,-0.24320,,,,,,
0:12:24,-0.23436,,,,,,
0:12:26,-0.22686,,,,,,
0:12:28,-0.21926,,,,,,
0:12:30,-0.21176,,,,,,
0:12:32,-0.20409,,,,,,
0:12:34,-0.19611,,,,,,
0:12:36,-0.18798,,,,,,
0:12:38,-0.17960,,,,,,
0:12:40,-0.17104,,,,,,
0:12:42,-0.16252,,,,,,
0:12:44,-0.15405,,,,,,
0:12:46,-0.14580,,,,,,
0:12:48,-0.13786,,,,,,
0:12:50,-0.13016,,,,,,
0:12:52,-0.12268,,,,,,
0:12:54,-0.11540,,,,,,
0:12:56,-0.10832,,,,,,
0:12:58,-0.10149,,,,,,
0:13:00,-0.09490,,,,,,
0:13:02,-0.08851,,,,,,
0:13:04,-0.08233,,,,,,
0:13:06,-0.07622,,,,,,
0:13:08,-0.07031,,,,,,
0:13:10,-0.06451,,,,,,
0:13:12,-0.05873,,,,,,
0:13:14,-0.05288,,,,,,
0:13:16,-0.05137,,,,,,
0:13:18,-0.04237,,,,,,
0:13:20,-0.03445,,,,,,
0:13:22,-0.02765,,,,,,
0:13:24,-0.02030,,,,,,
0:13:26,-0.01257,,,,,,
0:13:28,-0.00454,,,,,,
0:13:30,0.00374,,,,,,
0:13:32,0.01231,,,,,,
0:13:34,0.02124,,,,,,
0:13:36,0.03050,,,,,,
0:13:38,0.03990,,,,,,
0:13:40,0.04962,,,,,,
0:13:42,0.05949,,,,,,
0:13:44,0.06947,,,,,,
0:13:46,0.07203,,,,,,
0:13:48,0.08678,,,,,,
0:13:50,0.09887,,,,,,
0:13:52,0.10136,,,,,,
0:13:54,0.11490,,,,,,
0:13:56,0.11958,,,,,,
0:13:58,0.13179,,,,,,
0:14:00,0.14111,,,,,,
0:14:02,0.14740,,,,,,
0:14:04,0.15323,,,,,,
0:14:06,0.15880,,,,,,
0:14:08,0.16406,,,,,,
0:14:10,0.16889,,,,,,
0:14:12,0.17325,,,,,,
0:14:14,0.17715,,,,,,
0:14:16,0.18054,,,,,,
0:14:18,0.18332,,,,,,
0:14:20,0.18399,,,,,,
0:14:22,0.18562,,,,,,
0:14:24,0.18847,,,,,,
0:14:26,0.18977,,,,,,
0:14:28,0.19029,,,,,,
0:14:30,0.19058,,,,,,
0:14:32,0.19074,,,,,,
0:14:34,0.19087,,,,,,
0:14:36,0.19090,,,,,,
0:14:38,0.19078,,,,,,
0:14:40,0.19034,,,,,,
0:14:42,0.18960,,,,,,
0:14:44,0.18860,,,,,,
0:14:46,0.18723,,,,,,
0:14:48,0.18556,,,,,,
0:14:50,0.18372,,,,,,
0:14:52,0.18170,,,,,,
0:14:54,0.17957,,,,,,
0:14:56,0.17743,,,,,,
0:14:58,0.17525,,,,,,
0:15:00,0.17326,,,,,,
0:15:02,0.17152,,,,,,
0:15:04,0.17009,,,,,,
0:15:06,0.16898,,,,,,
0:15:08,0.16830,,,,,,
0:15:10,0.16808,,,,,,
0:15:12,0.16832,,,,,,
0:15:14,0.16893,,,,,,
0:15:16,0.16988,,,,,,
0:15:18,0.17100,,,,,,
0:15:20,0.17129,,,,,,
0:15:22,0.17307,,,,,,
0:15:24,0.17475,,,,,,
0:15:26,0.17628,,,,,,
0:15:28,0.17782,,,,,,
0:15:30,0.17935,,,,,,
0:15:32,0.18074,,,,,,
0:15:34,0.18205,,,,,,
0:15:36,0.18335,,,,,,
0:15:38,0.18460,,,,,,
0:15:40,0.18573,,,,,,
0:15:42,0.18668,,,,,,
0:15:44,0.18754,,,,,,
0:15:46,0.18831,,,,,,
0:15:48,0.18895,,,,,,
0:15:50,0.18957,,,,,,
0:15:52,0.19009,,,,,,
0:15:54,0.19059,,,,,,
0:15:56,0.19113,,,,,,
0:15:58,0.19158,,,,,,
0:16:00,0.19206,,,,,,
0:16:02,0.19258,,,,,,
0:16:04,0.19298,,,,,,
0:16:06,0.19325,,,,,,
0:16:08,0.19343,,,,,,
0:16:10,0.19357,,,,,,
0:16:12,0.19374,,,,,,
0:16:14,0.19390,,,,,,
0:16:16,0.19394,,,,,,
0:16:18,0.19370,,,,,,
0:16:20,0.19361,,,,,,
0:16:22,0.19275,,,,,,
0:16:24,0.19161,,,,,,
0:16:26,0.19025,,,,,,
0:16:28,0.18841,,,,,,
0:16:30,0.18571,,,,,,
0:16:32,0.18209,,,,,,
0:16:34,0.17751,,,,,,
0:16:36,0.17182,,,,,,
0:16:38,0.16483,,,,,,
0:16:40,0.15665,,,,,,
0:16:42,0.14754,,,,,,
0:16:44,0.13783,,,,,,
0:16:46,0.12756,,,,,,
0:16:48,0.11688,,,,,,
0:16:50,0.10613,,,,,,
0:16:52,0.09510,,,,,,
0:16:54,0.08403,,,,,,
0:16:56,0.07289,,,,,,
0:16:58,0.06176,,,,,,
0:17:00,0.05074,,,,,,
0:17:02,0.03984,,,,,,
0:17:04,0.02907,,,,,,
0:17:06,0.01864,,,,,,
0:17:08,0.00867,,,,,,
0:17:10,-0.00094,,,,,,
0:17:12,-0.01019,,,,,,
0:17:14,-0.01891,,,,,,
0:17:16,-0.02115,,,,,,
0:17:18,-0.03201,,,,,,
0:17:20,-0.03577,,,,,,
0:17:22,-0.04403,,,,,,
0:17:24,-0.05028,,,,,,
0:17:26,-0.05474,,,,,,
0:17:28,-0.05924,,,,,,
0:17:30,-0.06379,,,,,,
0:17:32,-0.06841,,,,,,
0:17:34,-0.07311,,,,,,
0:17:36,-0.07787,,,,,,
0:17:38,-0.08251,,,,,,
0:17:40,-0.08697,,,,,,
0:17:42,-0.09133,,,,,,
0:17:44,-0.09558,,,,,,
0:17:46,-0.09992,,,,,,
0:17:48,-0.10430,,,,,,
0:17:50,-0.10857,,,,,,
0:17:52,-0.11283,,,,,,
0:17:54,-0.11705,,,,,,
0:17:56,-0.11812,,,,,,
0:17:58,-0.12374,,,,,,
0:18:00,-0.12818,,,,,,
0:18:02,-0.13134,,,,,,
0:18:04,-0.13406,,,,,,
0:18:06,-0.13642,,,,,,
0:18:08,-0.13840,,,,,,
0:18:10,-0.14000,,,,,,
0:18:12,-0.14113,,,,,,
0:18:14,-0.14181,,,,,,
0:18:16,-0.14219,,,,,,
0:18:18,-0.14250,,,,,,
0:18:20,-0.14264,,,,,,
0:18:22,-0.14259,,,,,,
0:18:24,-0.14241,,,,,,
0:18:26,-0.14207,,,,,,
0:18:28,-0.14158,,,,,,
0:18:30,-0.14094,,,,,,
0:18:32,-0.14018,,,,,,
0:18:34,-0.13935,,,,,,
0:18:36,-0.13853,,,,,,
0:18:38,-0.13775,,,,,,
0:18:40,-0.13694,,,,,,
0:18:42,-0.13615,,,,,,
0:18:44,-0.13534,,,,,,
0:18:46,-0.13514,,,,,,
0:18:48,-0.13387,,,,,,
0:18:50,-0.13287,,,,,,
0:18:52,-0.13219,,,,,,
0:18:54,-0.13164,,,,,,
0:18:56,-0.13129,,,,,,
0:18:58,-0.13126,,,,,,
0:19:00,-0.13163,,,,,,
0:19:02,-0.13256,,,,,,
0:19:04,-0.13400,,,,,,
0:19:06,-0.13587,,,,,,
0:19:08,-0.13809,,,,,,
0:19:10,-0.14031,,,,,,
0:19:12,-0.14247,,,,,,
0:19:14,-0.14450,,,,,,
0:19:16,-0.14645,,,,,,
0:19:18,-0.14831,,,,,,
0:19:20,-0.14878,,,,,,
0:19:22,-0.15005,,,,,,
0:19:24,-0.15228,,,,,,
0:19:26,-0.15336,,,,,,
0:19:28,-0.15377,,,,,,
0:19:30,-0.15395,,,,,,
0:19:32,-0.15401,,,,,,
0:19:34,-0.15398,,,,,,
0:19:36,-0.15377,,,,,,
0:19:38,-0.15342,,,,,,
0:19:40,-0.15306,,,,,,
0:19:42,-0.15283,,,,,,
0:19:44,-0.15270,,,,,,
0:19:46,-0.15266,,,,,,
0:19:48,-0.15269,,,,,,
0:19:50,-0.15282,,,,,,
0:19:52,-0.15286,,,,,,
0:19:54,-0.15303,,,,,,
0:19:56,-0.15318,,,,,,
0:19:58,-0.15340,,,,,,
0:20:00,-0.15375,,,,,,
0:20:02,-0.15431,,,,,,
0:20:04,-0.15447,,,,,,
0:20:06,-0.15506,,,,,,
0:20:08,-0.15687,,,,,,
0:20:10,-0.15856,,,,,,
0:20:12,-0.16022,,,,,,
0:20:14,-0.16226,,,,,,
0:20:16,-0.16285,,,,,,
0:20:18,-0.16688,,,,,,
0:20:20,-0.17092,,,,,,
0:20:22,-0.17465,,,,,,
0:20:24,-0.17844,,,,,,
0:20:26,-0.18223,,,,,,
0:20:28,-0.18617,,,,,,
0:20:30,-0.19036,,,,,,
0:20:32,-0.19479,,,,,,
0:20:34,-0.19919,,,,,,
0:20:36,-0.20368,,,,,,
0:20:38,-0.20818,,,,,,
0:20:40,-0.21246,,,,,,
0:20:42,-0.21664,,,,,,
0:20:44,-0.22073,,,,,,
0:20:46,-0.22479,,,,,,
0:20:48,-0.22892,,,,,,
0:20:50,-0.23377,,,,,,
0:20:52,-0.23873,,,,,,
0:20:54,-0.24372,,,,,,
0:20:56,-0.24865,,,,,,
0:20:58,-0.25338,,,,,,
0:21:00,-0.25800,,,,,,
0:21:02,-0.26307,,,,,,
0:21:04,-0.26832,,,,,,
0:21:06,-0.27383,,,,,,
0:21:08,-0.27978,,,,,,
0:21:10,-0.28616,,,,,,
0:21:12,-0.29291,,,,,,
0:21:14,-0.30010,,,,,,
0:21:16,-0.30206,,,,,,
0:21:18,-0.31356,,,,,,
0:21:20,-0.32390,,,,,,
0:21:22,-0.33241,,,,,,
0:21:24,-0.34112,,,,,,
0:21:26,-0.34982,,,,,,
0:21:28,-0.35862,,,,,,
0:21:30,-0.36779,,,,,,
0:21:32,-0.37732,,,,,,
0:21:34,-0.38700,,,,,,
0:21:36,-0.39679,,,,,,
0:21:38,-0.40662,,,,,,
0:21:40,-0.41647,,,,,,
0:21:42,-0.42632,,,,,,
0:21:44,-0.43609,,,,,,
0:21:46,-0.44568,,,,,,
0:21:48,-0.45515,,,,,,
0:21:50,-0.46448,,,,,,
0:21:52,-0.47366,,,,,,
0:21:54,-0.48273,,,,,,
0:21:56,-0.49172,,,,,,
0:21:58,-0.50028,,,,,,
0:22:00,-0.50844,,,,,,
0:22:02,-0.51632,,,,,,
0:22:04,-0.52428,,,,,,
0:22:06,-0.53238,,,,,,
0:22:08,-0.54049,,,,,,
0:22:10,-0.54852,,,,,,
0:22:12,-0.55653,,,,,,
0:22:14,-0.56445,,,,,,
0:22:16,-0.57225,,,,,,
0:22:18,-0.58001,,,,,,
0:22:20,-0.58764,,,,,,
0:22:22,-0.59520,,,,,,
0:22:24,-0.60287,,,,,,
0:22:26,-0.61052,,,,,,
0:22:28,-0.61803,,,,,,
0:22:30,-0.62596,,,,,,
0:22:32,-0.63423,,,,,,
0:22:34,-0.63647,,,,,,
0:22:36,-0.64264,,,,,,
0:22:38,-0.65128,,,,,,
0:22:40,-0.65997,,,,,,
0:22:42,-0.66872,,,,,,
0:22:44,-0.67620,,,,,,
0:22:46,-0.68217,,,,,,
0:22:48,-0.68668,,,,,,
0:22:50,-0.69072,,,,,,
0:22:52,-0.69190,,,,,,
0:22:54,-0.69055,,,,,,
0:22:56,-0.68768,,,,,,
0:22:58,-0.68360,,,,,,
0:23:00,-0.67849,,,,,,
0:23:02,-0.67239,,,,,,
0:23:04,-0.66574,,,,,,
0:23:06,-0.65836,,,,,,
0:23:08,-0.65040,,,,,,
0:23:10,-0.64191,,,,,,
0:23:12,-0.63300,,,,,,
0:23:14,-0.62382,,,,,,
0:23:16,-0.62130,,,,,,
0:23:18,-0.60781,,,,,,
0:23:20,-0.59595,,,,,,
0:23:22,-0.58652,,,,,,
0:23:24,-0.57710,,,,,,
0:23:26,-0.56773,,,,,,
0:23:28,-0.55842,,,,,,
0:23:30,-0.54916,,,,,,
0:23:32,-0.53996,,,,,,
0:23:34,-0.53746,,,,,,
0:23:36,-0.53060,,,,,,
0:23:38,-0.51613,,,,,,
0:23:40,-0.50660,,,,,,
0:23:42,-0.49999,,,,,,
0:23:44,-0.49393,,,,,,
0:23:46,-0.49236,,,,,,
0:23:48,-0.48504,,,,,,
0:23:50,-0.47906,,,,,,
0:23:52,-0.47489,,,,,,
0:23:54,-0.47103,,,,,,
0:23:56,-0.46999,,,,,,
0:23:58,-0.46450,,,,,,
0:24:00,-0.45958,,,,,,
0:24:02,-0.45565,,,,,,
0:24:04,-0.45160,,,,,,
0:24:06,-0.44746,,,,,,
0:24:08,-0.44309,,,,,,
0:24:10,-0.43844,,,,,,
0:24:12,-0.43374,,,,,,
0:24:14,-0.42892,,,,,,
0:24:16,-0.42762,,,,,,
0:24:18,-0.42063,,,,,,
0:24:20,-0.41450,,,,,,
0:24:22,-0.40978,,,,,,
0:24:24,-0.40514,,,,,,
0:24:26,-0.40053,,,,,,
0:24:28,-0.39605,,,,,,
0:24:30,-0.39177,,,,,,
0:24:32,-0.38770,,,,,,
0:24:34,-0.38390,,,,,,
0:24:36,-0.38036,,,,,,
0:24:38,-0.37717,,,,,,
0:24:40,-0.37421,,,,,,
0:24:42,-0.37150,,,,,,
0:24:44,-0.36902,,,,,,
0:24:46,-0.36683,,,,,,
0:24:48,-0.36489,,,,,,
0:24:50,-0.36321,,,,,,
0:24:52,-0.36172,,,,,,
0:24:54,-0.36032,,,,,,
0:24:56,-0.35899,,,,,,
0:24:58,-0.35800,,,,,,
0:25:00,-0.35760,,,,,,
0:25:02,-0.35765,,,,,,
0:25:04,-0.35778,,,,,,
0:25:06,-0.35771,,,,,,
0:25:08,-0.35737,,,,,,
0:25:10,-0.35667,,,,,,
0:25:12,-0.35570,,,,,,
0:25:14,-0.35442,,,,,,
0:25:16,-0.35405,,,,,,
0:25:18,-0.35097,,,,,,
0:25:20,-0.34776,,,,,,
0:25:22,-0.34471,,,,,,
0:25:24,-0.34111,,,,,,
0:25:26,-0.33690,,,,,,
0:25:28,-0.33205,,,,,,
0:25:30,-0.33070,,,,,,
0:25:32,-0.32215,,,,,,
0:25:34,-0.31391,,,,,,
0:25:36,-0.30684,,,,,,
0:25:38,-0.29942,,,,,,
0:25:40,-0.29178,,,,,,
0:25:42,-0.28406,,,,,,
0:25:44,-0.27623,,,,,,
0:25:46,-0.26839,,,,,,
0:25:48,-0.26052,,,,,,
0:25:50,-0.25268,,,,,,
0:25:52,-0.24496,,,,,,
0:25:54,-0.23734,,,,,,
0:25:56,-0.23001,,,,,,
0:25:58,-0.22299,,,,,,
0:26:00,-0.21680,,,,,,
