"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","09 Feb 2021","20","2.80"
"MFP","09 Feb 2021","21","3.65"
"MFP","09 Feb 2021","22","1.20"
"MFP","09 Feb 2021","23","4.00"
"MFP","09 Feb 2021","24","1.20"
"MFP","09 Feb 2021","25","1.20"
"MFP","09 Feb 2021","26","1.20"
"MFP","09 Feb 2021","27","1.88"
"MFP","09 Feb 2021","28","5.00"
"MFP","09 Feb 2021","29","7.12"
"MFP","09 Feb 2021","30","6.21"
"MFP","09 Feb 2021","31","1.28"
"MFP","09 Feb 2021","32","1.33"
"MFP","09 Feb 2021","33","6.81"
"MFP","09 Feb 2021","34","9.29"
"MFP","09 Feb 2021","35","1.95"
"MFP","09 Feb 2021","36","9.29"
"MFP","09 Feb 2021","37","9.24"
"MFP","09 Feb 2021","38","8.70"
"MFP","09 Feb 2021","39","8.70"
"MFP","09 Feb 2021","40","8.49"
"MFP","09 Feb 2021","41","2.00"
"MFP","09 Feb 2021","42","1.28"
"MFP","09 Feb 2021","43","12.72"
"MFP","09 Feb 2021","44","10.18"
"MFP","09 Feb 2021","45","8.00"
"MFP","09 Feb 2021","46","7.79"
"MFP","09 Feb 2021","47","1.20"
"MFP","09 Feb 2021","48","0.90"
"MFP","10 Feb 2021","1","1.20"
"MFP","10 Feb 2021","2","0.50"
"MFP","10 Feb 2021","3","0.50"
"MFP","10 Feb 2021","4","0.50"
"MFP","10 Feb 2021","5","0.01"
"MFP","10 Feb 2021","6","0.50"
"MFP","10 Feb 2021","7","0.50"
"MFP","10 Feb 2021","8","0.01"
"MFP","10 Feb 2021","9","0.01"
"MFP","10 Feb 2021","10","0.01"
"MFP","10 Feb 2021","11","0.50"
"MFP","10 Feb 2021","12","1.00"
"MFP","10 Feb 2021","13","1.20"
"MFP","10 Feb 2021","14","1.20"
"MFP","10 Feb 2021","15","7.66"
"MFP","10 Feb 2021","16","8.00"
"MFP","10 Feb 2021","17","11.22"
"MFP","10 Feb 2021","18","13.33"
"MFP","10 Feb 2021","19","14.05"
"MFP","10 Feb 2021","20","16.37"
"MFP","10 Feb 2021","21","23.00"
"MFP","10 Feb 2021","22","17.26"
"MFP","10 Feb 2021","23","20.88"
"MFP","10 Feb 2021","24","12.95"
"MFP","10 Feb 2021","25","9.51"
"MFP","10 Feb 2021","26","14.38"
"MFP","10 Feb 2021","27","21.99"
"MFP","10 Feb 2021","28","26.82"
"MFP","10 Feb 2021","29","33.52"
"MFP","10 Feb 2021","30","33.33"
"MFP","10 Feb 2021","31","32.12"
"MFP","10 Feb 2021","32","43.57"
"MFP","10 Feb 2021","33","198.02"
"MFP","10 Feb 2021","34","51.59"
"MFP","10 Feb 2021","35","35.78"
"MFP","10 Feb 2021","36","34.18"
"MFP","10 Feb 2021","37","34.88"
"MFP","10 Feb 2021","38","34.19"
"MFP","10 Feb 2021","39","20.72"
"MFP","10 Feb 2021","40","13.70"
"MFP","10 Feb 2021","41","9.76"
"MFP","10 Feb 2021","42","9.69"
"MFP","10 Feb 2021","43","10.19"
"MFP","10 Feb 2021","44","7.93"
"MFP","10 Feb 2021","45","7.41"
"MFP","10 Feb 2021","46","1.33"
"MFP","10 Feb 2021","47","1.00"
"MFP","10 Feb 2021","48","0.90"
"MFP","11 Feb 2021","1","1.20"
"MFP","11 Feb 2021","2","0.60"
"MFP","11 Feb 2021","3","0.50"
"MFP","11 Feb 2021","4","0.50"
"MFP","11 Feb 2021","5","0.50"
"MFP","11 Feb 2021","6","0.50"
"MFP","11 Feb 2021","7","0.50"
"MFP","11 Feb 2021","8","0.01"
"MFP","11 Feb 2021","9","0.01"
"MFP","11 Feb 2021","10","0.50"
"MFP","11 Feb 2021","11","0.50"
