"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","06 May 2021","11","0.50"
"MFP","06 May 2021","12","1.48"
"MFP","06 May 2021","13","6.21"
"MFP","06 May 2021","14","8.08"
"MFP","06 May 2021","15","3.97"
"MFP","06 May 2021","16","8.00"
"MFP","06 May 2021","17","4.39"
"MFP","06 May 2021","18","1.20"
"MFP","06 May 2021","19","1.12"
"MFP","06 May 2021","20","1.00"
"MFP","06 May 2021","21","0.60"
"MFP","06 May 2021","22","0.54"
"MFP","06 May 2021","23","0.92"
"MFP","06 May 2021","24","0.53"
"MFP","06 May 2021","25","0.50"
"MFP","06 May 2021","26","0.50"
"MFP","06 May 2021","27","0.73"
"MFP","06 May 2021","28","0.73"
"MFP","06 May 2021","29","0.73"
"MFP","06 May 2021","30","0.56"
"MFP","06 May 2021","31","0.50"
"MFP","06 May 2021","32","0.50"
"MFP","06 May 2021","33","0.50"
"MFP","06 May 2021","34","0.60"
"MFP","06 May 2021","35","0.60"
"MFP","06 May 2021","36","1.10"
"MFP","06 May 2021","37","2.00"
"MFP","06 May 2021","38","1.76"
"MFP","06 May 2021","39","1.00"
"MFP","06 May 2021","40","1.00"
"MFP","06 May 2021","41","0.60"
"MFP","06 May 2021","42","0.50"
"MFP","06 May 2021","43","0.10"
"MFP","06 May 2021","44","0.60"
"MFP","06 May 2021","45","1.10"
"MFP","06 May 2021","46","0.60"
"MFP","06 May 2021","47","1.48"
"MFP","06 May 2021","48","1.28"
"MFP","07 May 2021","1","1.88"
"MFP","07 May 2021","2","0.67"
"MFP","07 May 2021","3","0.60"
"MFP","07 May 2021","4","0.60"
"MFP","07 May 2021","5","0.60"
"MFP","07 May 2021","6","0.60"
"MFP","07 May 2021","7","0.60"
"MFP","07 May 2021","8","0.60"
"MFP","07 May 2021","9","0.50"
"MFP","07 May 2021","10","0.50"
"MFP","07 May 2021","11","0.50"
"MFP","07 May 2021","12","1.00"
"MFP","07 May 2021","13","1.28"
"MFP","07 May 2021","14","1.20"
"MFP","07 May 2021","15","1.65"
"MFP","07 May 2021","16","1.88"
"MFP","07 May 2021","17","1.33"
"MFP","07 May 2021","18","8.00"
"MFP","07 May 2021","19","1.33"
"MFP","07 May 2021","20","1.00"
"MFP","07 May 2021","21","1.00"
"MFP","07 May 2021","22","0.90"
"MFP","07 May 2021","23","0.97"
"MFP","07 May 2021","24","0.90"
"MFP","07 May 2021","25","0.90"
"MFP","07 May 2021","26","0.90"
"MFP","07 May 2021","27","1.00"
"MFP","07 May 2021","28","1.00"
"MFP","07 May 2021","29","149.99"
"MFP","07 May 2021","30","119.88"
"MFP","07 May 2021","31","59.05"
"MFP","07 May 2021","32","80.95"
"MFP","07 May 2021","33","81.64"
"MFP","07 May 2021","34","60.65"
"MFP","07 May 2021","35","17.21"
"MFP","07 May 2021","36","1.00"
"MFP","07 May 2021","37","2.00"
"MFP","07 May 2021","38","1.37"
"MFP","07 May 2021","39","1.33"
"MFP","07 May 2021","40","1.33"
"MFP","07 May 2021","41","1.00"
"MFP","07 May 2021","42","0.90"
"MFP","07 May 2021","43","1.00"
"MFP","07 May 2021","44","1.00"
"MFP","07 May 2021","45","2.00"
"MFP","07 May 2021","46","1.19"
"MFP","07 May 2021","47","15.77"
"MFP","07 May 2021","48","7.89"
"MFP","08 May 2021","1","8.00"
"MFP","08 May 2021","2","1.12"
"MFP","08 May 2021","3","0.01"
"MFP","08 May 2021","4","0.01"
"MFP","08 May 2021","5","0.01"
"MFP","08 May 2021","6","0.01"
"MFP","08 May 2021","7","0.01"
"MFP","08 May 2021","8","0.01"
"MFP","08 May 2021","9","0.01"
"MFP","08 May 2021","10","0.01"
"MFP","08 May 2021","11","0.50"
"MFP","08 May 2021","12","1.00"
"MFP","08 May 2021","13","1.28"
"MFP","08 May 2021","14","1.20"
"MFP","08 May 2021","15","3.42"
"MFP","08 May 2021","16","9.00"
"MFP","08 May 2021","17","6.84"
"MFP","08 May 2021","18","4.03"
"MFP","08 May 2021","19","7.42"
"MFP","08 May 2021","20","1.88"
"MFP","08 May 2021","21","1.38"
"MFP","08 May 2021","22","2.00"
"MFP","08 May 2021","23","7.48"
"MFP","08 May 2021","24","6.98"
"MFP","08 May 2021","25","2.00"
"MFP","08 May 2021","26","1.33"
"MFP","08 May 2021","27","2.87"
"MFP","08 May 2021","28","2.87"
"MFP","08 May 2021","29","1.74"
"MFP","08 May 2021","30","1.84"
"MFP","08 May 2021","31","1.20"
"MFP","08 May 2021","32","1.32"
"MFP","08 May 2021","33","0.88"
"MFP","08 May 2021","34","1.00"
"MFP","08 May 2021","35","0.90"
"MFP","08 May 2021","36","1.20"
