"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","05 Sep 2021","4","0.01"
"MFP","05 Sep 2021","5","0.50"
"MFP","05 Sep 2021","6","0.01"
"MFP","05 Sep 2021","7","0.01"
"MFP","05 Sep 2021","8","0.01"
"MFP","05 Sep 2021","9","0.01"
"MFP","05 Sep 2021","10","0.01"
"MFP","05 Sep 2021","11","0.50"
"MFP","05 Sep 2021","12","1.70"
"MFP","05 Sep 2021","13","6.39"
"MFP","05 Sep 2021","14","6.49"
"MFP","05 Sep 2021","15","8.00"
"MFP","05 Sep 2021","16","8.00"
"MFP","05 Sep 2021","17","9.84"
"MFP","05 Sep 2021","18","14.88"
"MFP","05 Sep 2021","19","12.98"
"MFP","05 Sep 2021","20","12.41"
"MFP","05 Sep 2021","21","11.49"
"MFP","05 Sep 2021","22","2.70"
"MFP","05 Sep 2021","23","3.50"
"MFP","05 Sep 2021","24","2.59"
"MFP","05 Sep 2021","25","2.59"
"MFP","05 Sep 2021","26","2.70"
"MFP","05 Sep 2021","27","4.71"
"MFP","05 Sep 2021","28","4.64"
"MFP","05 Sep 2021","29","4.09"
"MFP","05 Sep 2021","30","3.69"
"MFP","05 Sep 2021","31","2.50"
"MFP","05 Sep 2021","32","2.59"
"MFP","05 Sep 2021","33","2.50"
"MFP","05 Sep 2021","34","4.09"
"MFP","05 Sep 2021","35","3.82"
"MFP","05 Sep 2021","36","6.01"
"MFP","05 Sep 2021","37","14.33"
"MFP","05 Sep 2021","38","14.21"
"MFP","05 Sep 2021","39","14.04"
"MFP","05 Sep 2021","40","15.52"
"MFP","05 Sep 2021","41","14.36"
"MFP","05 Sep 2021","42","13.33"
"MFP","05 Sep 2021","43","12.12"
"MFP","05 Sep 2021","44","13.02"
"MFP","05 Sep 2021","45","11.41"
"MFP","05 Sep 2021","46","8.00"
"MFP","05 Sep 2021","47","9.88"
"MFP","05 Sep 2021","48","2.09"
"MFP","06 Sep 2021","1","1.00"
"MFP","06 Sep 2021","2","0.60"
"MFP","06 Sep 2021","3","0.01"
"MFP","06 Sep 2021","4","0.01"
"MFP","06 Sep 2021","5","0.01"
"MFP","06 Sep 2021","6","0.01"
"MFP","06 Sep 2021","7","0.01"
"MFP","06 Sep 2021","8","0.01"
"MFP","06 Sep 2021","9","0.01"
"MFP","06 Sep 2021","10","0.01"
"MFP","06 Sep 2021","11","0.50"
"MFP","06 Sep 2021","12","1.10"
"MFP","06 Sep 2021","13","1.33"
"MFP","06 Sep 2021","14","1.33"
"MFP","06 Sep 2021","15","8.00"
"MFP","06 Sep 2021","16","8.00"
"MFP","06 Sep 2021","17","8.00"
"MFP","06 Sep 2021","18","8.00"
"MFP","06 Sep 2021","19","8.00"
"MFP","06 Sep 2021","20","2.53"
"MFP","06 Sep 2021","21","2.16"
"MFP","06 Sep 2021","22","1.20"
"MFP","06 Sep 2021","23","1.28"
"MFP","06 Sep 2021","24","1.00"
"MFP","06 Sep 2021","25","1.10"
"MFP","06 Sep 2021","26","1.00"
"MFP","06 Sep 2021","27","1.33"
"MFP","06 Sep 2021","28","1.33"
"MFP","06 Sep 2021","29","1.79"
"MFP","06 Sep 2021","30","2.00"
"MFP","06 Sep 2021","31","1.10"
"MFP","06 Sep 2021","32","1.33"
"MFP","06 Sep 2021","33","1.79"
"MFP","06 Sep 2021","34","1.79"
"MFP","06 Sep 2021","35","1.28"
"MFP","06 Sep 2021","36","2.20"
"MFP","06 Sep 2021","37","8.00"
"MFP","06 Sep 2021","38","8.00"
"MFP","06 Sep 2021","39","2.10"
"MFP","06 Sep 2021","40","1.64"
"MFP","06 Sep 2021","41","1.42"
"MFP","06 Sep 2021","42","1.15"
"MFP","06 Sep 2021","43","1.11"
"MFP","06 Sep 2021","44","1.00"
"MFP","06 Sep 2021","45","1.10"
"MFP","06 Sep 2021","46","1.33"
"MFP","06 Sep 2021","47","1.20"
"MFP","06 Sep 2021","48","1.10"
"MFP","07 Sep 2021","1","1.00"
"MFP","07 Sep 2021","2","0.60"
"MFP","07 Sep 2021","3","0.50"
"MFP","07 Sep 2021","4","0.01"
"MFP","07 Sep 2021","5","0.01"
"MFP","07 Sep 2021","6","0.01"
"MFP","07 Sep 2021","7","0.01"
"MFP","07 Sep 2021","8","0.01"
"MFP","07 Sep 2021","9","0.01"
"MFP","07 Sep 2021","10","0.01"
"MFP","07 Sep 2021","11","0.50"
"MFP","07 Sep 2021","12","1.20"
