electric_grid_name,der_name,der_type,der_model_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,active_power_nominal,reactive_power_nominal
singapore_downtowncore,155980025,flexible_building,155980025,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,155987124,flexible_building,155987124,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,155988210,flexible_building,155988210,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,159679951,flexible_building,159679951,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,159679953,flexible_building,159679953,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,159679958,flexible_building,159679958,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,164176023,flexible_building,164176023,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,164177174,flexible_building,164177174,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,164177177,flexible_building,164177177,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,164177179,flexible_building,164177179,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,164177180,flexible_building,164177180,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,164177181,flexible_building,164177181,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,164177282,flexible_building,164177282,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,164177283,flexible_building,164177283,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,164881347,flexible_building,164881347,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,164882623,flexible_building,164882623,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,166311281,flexible_building,166311281,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,166311282,flexible_building,166311282,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,166311288,flexible_building,166311288,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,166311389,flexible_building,166311389,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,166311391,flexible_building,166311391,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,166554010,flexible_building,166554010,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,170960936,flexible_building,170960936,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171987820,flexible_building,171987820,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171987823,flexible_building,171987823,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995551,flexible_building,171995551,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995552,flexible_building,171995552,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995553,flexible_building,171995553,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995554,flexible_building,171995554,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995555,flexible_building,171995555,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995557,flexible_building,171995557,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995558,flexible_building,171995558,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995559,flexible_building,171995559,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995560,flexible_building,171995560,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995561,flexible_building,171995561,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995562,flexible_building,171995562,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171995563,flexible_building,171995563,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999278,flexible_building,171999278,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999282,flexible_building,171999282,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999283,flexible_building,171999283,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999284,flexible_building,171999284,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999290,flexible_building,171999290,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999291,flexible_building,171999291,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999293,flexible_building,171999293,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999297,flexible_building,171999297,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999299,flexible_building,171999299,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999300,flexible_building,171999300,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999304,flexible_building,171999304,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999306,flexible_building,171999306,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999314,flexible_building,171999314,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999325,flexible_building,171999325,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999336,flexible_building,171999336,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999340,flexible_building,171999340,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999341,flexible_building,171999341,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999342,flexible_building,171999342,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,171999350,flexible_building,171999350,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172000299,flexible_building,172000299,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172000303,flexible_building,172000303,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172000305,flexible_building,172000305,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172000306,flexible_building,172000306,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172000308,flexible_building,172000308,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172002558,flexible_building,172002558,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172002559,flexible_building,172002559,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172002560,flexible_building,172002560,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172002561,flexible_building,172002561,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172014438,flexible_building,172014438,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172014440,flexible_building,172014440,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172014442,flexible_building,172014442,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172023443,flexible_building,172023443,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172023449,flexible_building,172023449,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172023451,flexible_building,172023451,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172023457,flexible_building,172023457,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172023460,flexible_building,172023460,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172023461,flexible_building,172023461,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172024966,flexible_building,172024966,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172024967,flexible_building,172024967,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172024968,flexible_building,172024968,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172024969,flexible_building,172024969,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,172024970,flexible_building,172024970,1,1,1,1,wye,-2414989.499,-793768.6625
