der_name,electric_grid_name,der_type,model_name,node_name,is_phase_0_connected,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,n_phases,connection,active_power,reactive_power
152,hougang_405node,fixed_load,residential,64,0,0,1,0,1,wye,-123452.3762,-40576.8338
153,hougang_405node,fixed_load,residential,64,0,0,0,1,1,wye,-88180.2687,-28983.4527
154,hougang_405node,fixed_load,residential,65,0,1,0,0,1,wye,-123452.3762,-40576.8338
155,hougang_405node,fixed_load,residential,65,0,0,1,0,1,wye,-88180.2687,-28983.4527
156,hougang_405node,fixed_load,residential,65,0,0,0,1,1,wye,-52908.1612,-17390.0716
157,hougang_405node,fixed_load,residential,66,0,1,0,0,1,wye,-123452.3762,-40576.8338
158,hougang_405node,fixed_load,residential,66,0,0,1,0,1,wye,-79362.2418,-26085.1074
159,hougang_405node,fixed_load,residential,66,0,0,0,1,1,wye,-61726.1881,-20288.4169
160,hougang_405node,fixed_load,residential,67,0,1,0,0,1,wye,-71172.6465,-23393.3176
161,hougang_405node,fixed_load,residential,67,0,0,1,0,1,wye,-32848.9138,-10796.9158
162,hougang_405node,fixed_load,residential,67,0,0,0,1,1,wye,-60223.0086,-19794.3457
163,hougang_405node,fixed_load,residential,68,0,1,0,0,1,wye,-79362.2418,-26085.1074
164,hougang_405node,fixed_load,residential,68,0,0,1,0,1,wye,-70544.215,-23186.7622
165,hougang_405node,fixed_load,residential,68,0,0,0,1,1,wye,-114634.3493,-37678.4885
166,hougang_405node,fixed_load,residential,69,0,1,0,0,1,wye,-96608.6307,-31753.7213
167,hougang_405node,fixed_load,residential,69,0,0,1,0,1,wye,-74314.3313,-24425.9395
168,hougang_405node,fixed_load,residential,69,0,0,0,1,1,wye,-52020.0319,-17098.1576
169,hougang_405node,fixed_load,residential,70,0,1,0,0,1,wye,-52908.1612,-17390.0716
170,hougang_405node,fixed_load,residential,70,0,0,1,0,1,wye,-52908.1612,-17390.0716
171,hougang_405node,fixed_load,residential,70,0,0,0,1,1,wye,-92589.2821,-30432.6253
172,hougang_405node,fixed_load,residential,71,0,1,0,0,1,wye,-134573.0534,-44232.0236
173,hougang_405node,fixed_load,residential,71,0,0,1,0,1,wye,-76898.8877,-25275.4421
174,hougang_405node,fixed_load,residential,71,0,0,0,1,1,wye,-76898.8877,-25275.4421
175,hougang_405node,fixed_load,residential,72,0,1,0,0,1,wye,-59521.6814,-19563.8306
176,hougang_405node,fixed_load,residential,72,0,0,1,0,1,wye,-46294.6411,-15216.3127
177,hougang_405node,fixed_load,residential,72,0,0,0,1,1,wye,-92589.2821,-30432.6253
178,hougang_405node,fixed_load,residential,73,0,1,0,0,1,wye,-79362.2418,-26085.1074
179,hougang_405node,fixed_load,residential,73,0,0,1,0,1,wye,-66135.2015,-21737.5895
180,hougang_405node,fixed_load,residential,73,0,0,0,1,1,wye,-52908.1612,-17390.0716
181,hougang_405node,fixed_load,residential,74,0,1,0,0,1,wye,-70544.215,-23186.7622
182,hougang_405node,fixed_load,residential,74,0,0,1,0,1,wye,-88180.2687,-28983.4527
183,hougang_405node,fixed_load,residential,74,0,0,0,1,1,wye,-105816.3224,-34780.1433
184,hougang_405node,fixed_load,residential,75,0,1,0,0,1,wye,-39681.1209,-13042.5537
185,hougang_405node,fixed_load,residential,75,0,0,1,0,1,wye,-66135.2015,-21737.5895
186,hougang_405node,fixed_load,residential,75,0,0,0,1,1,wye,-92589.2821,-30432.6253
187,hougang_405node,fixed_load,residential,76,0,1,0,0,1,wye,-46294.6411,-15216.3127
188,hougang_405node,fixed_load,residential,76,0,0,1,0,1,wye,-85975.762,-28258.8664
189,hougang_405node,fixed_load,residential,76,0,0,0,1,1,wye,-66135.2015,-21737.5895
190,hougang_405node,fixed_load,residential,77,0,1,0,0,1,wye,-67286.5267,-22116.0118
191,hougang_405node,fixed_load,residential,77,0,0,1,0,1,wye,-105735.9705,-34753.7329
192,hougang_405node,fixed_load,residential,77,0,0,0,1,1,wye,-115348.3315,-37913.1631
193,hougang_405node,fixed_load,residential,78,0,1,0,0,1,wye,-79362.2418,-26085.1074
194,hougang_405node,fixed_load,residential,78,0,0,1,0,1,wye,-79362.2418,-26085.1074
195,hougang_405node,fixed_load,residential,78,0,0,0,1,1,wye,-39681.1209,-13042.5537
196,hougang_405node,fixed_load,residential,79,0,1,0,0,1,wye,-79362.2418,-26085.1074
197,hougang_405node,fixed_load,residential,79,0,0,1,0,1,wye,-66135.2015,-21737.5895
198,hougang_405node,fixed_load,residential,79,0,0,0,1,1,wye,-52908.1612,-17390.0716
199,hougang_405node,fixed_load,residential,80,0,1,0,0,1,wye,-85975.762,-28258.8664
200,hougang_405node,fixed_load,residential,80,0,0,1,0,1,wye,-39681.1209,-13042.5537
201,hougang_405node,fixed_load,residential,80,0,0,0,1,1,wye,-72748.7217,-23911.3485
202,hougang_405node,fixed_load,residential,81,0,1,0,0,1,wye,-92589.2821,-30432.6253
203,hougang_405node,fixed_load,residential,81,0,0,1,0,1,wye,-66135.2015,-21737.5895
204,hougang_405node,fixed_load,residential,81,0,0,0,1,1,wye,-39681.1209,-13042.5537
205,hougang_405node,fixed_load,residential,82,0,1,0,0,1,wye,-105816.3224,-34780.1433
206,hougang_405node,fixed_load,residential,82,0,0,1,0,1,wye,-70544.215,-23186.7622
207,hougang_405node,fixed_load,residential,82,0,0,0,1,1,wye,-88180.2687,-28983.4527
208,hougang_405node,fixed_load,residential,83,0,1,0,0,1,wye,-48134.8543,-15821.1615
209,hougang_405node,fixed_load,residential,83,0,0,1,0,1,wye,-42786.5371,-14063.2547
210,hougang_405node,fixed_load,residential,83,0,0,0,1,1,wye,-69528.1228,-22852.7888
211,hougang_405node,fixed_load,residential,84,0,1,0,0,1,wye,-115348.3315,-37913.1631
212,hougang_405node,fixed_load,residential,84,0,0,1,0,1,wye,-96123.6096,-31594.3026
213,hougang_405node,fixed_load,residential,84,0,0,0,1,1,wye,-76898.8877,-25275.4421
214,hougang_405node,fixed_load,residential,85,0,1,0,0,1,wye,-66135.2015,-21737.5895
215,hougang_405node,fixed_load,residential,85,0,0,1,0,1,wye,-85975.762,-28258.8664
216,hougang_405node,fixed_load,residential,85,0,0,0,1,1,wye,-46294.6411,-15216.3127
217,hougang_405node,fixed_load,residential,86,0,1,0,0,1,wye,-123452.3762,-40576.8338
218,hougang_405node,fixed_load,residential,86,0,0,1,0,1,wye,-88180.2687,-28983.4527
219,hougang_405node,fixed_load,residential,86,0,0,0,1,1,wye,-52908.1612,-17390.0716
220,hougang_405node,fixed_load,residential,87,0,1,0,0,1,wye,-88894.2509,-29218.1273
221,hougang_405node,fixed_load,residential,87,0,0,1,0,1,wye,-74078.5424,-24348.4394
222,hougang_405node,fixed_load,residential,87,0,0,0,1,1,wye,-59262.8339,-19478.7515
223,hougang_405node,fixed_load,residential,88,0,1,0,0,1,wye,-107510.5596,-35337.0121
224,hougang_405node,fixed_load,residential,88,0,0,1,0,1,wye,-46075.9541,-15144.4337
225,hougang_405node,fixed_load,residential,88,0,0,0,1,1,wye,-76793.2568,-25240.7229
226,hougang_405node,fixed_load,residential,89,0,1,0,0,1,wye,-84998.0641,-27937.5126
227,hougang_405node,fixed_load,residential,89,0,0,1,0,1,wye,-70831.72,-23281.2605
228,hougang_405node,fixed_load,residential,89,0,0,0,1,1,wye,-56665.376,-18625.0084
229,hougang_405node,fixed_load,residential,90,0,1,0,0,1,wye,-92589.2821,-30432.6253
230,hougang_405node,fixed_load,residential,90,0,0,1,0,1,wye,-52908.1612,-17390.0716
231,hougang_405node,fixed_load,residential,90,0,0,0,1,1,wye,-52908.1612,-17390.0716
232,hougang_405node,fixed_load,residential,91,0,1,0,0,1,wye,-85975.762,-28258.8664
233,hougang_405node,fixed_load,residential,91,0,0,1,0,1,wye,-39681.1209,-13042.5537
234,hougang_405node,fixed_load,residential,91,0,0,0,1,1,wye,-72748.7217,-23911.3485
235,hougang_405node,fixed_load,residential,92,0,1,0,0,1,wye,-79225.0489,-26040.0143
236,hougang_405node,fixed_load,residential,92,0,0,1,0,1,wye,-79225.0489,-26040.0143
237,hougang_405node,fixed_load,residential,92,0,0,0,1,1,wye,-79225.0489,-26040.0143
238,hougang_405node,fixed_load,residential,93,0,1,0,0,1,wye,-190582.0222,-62641.2814
239,hougang_405node,fixed_load,residential,93,0,0,1,0,1,wye,-81678.0095,-26846.2635
240,hougang_405node,fixed_load,residential,93,0,0,0,1,1,wye,-136130.0159,-44743.7725
241,hougang_405node,fixed_load,residential,94,0,1,0,0,1,wye,-59640.0962,-19602.7516
242,hougang_405node,fixed_load,residential,94,0,0,1,0,1,wye,-67095.1082,-22053.0956
243,hougang_405node,fixed_load,residential,94,0,0,0,1,1,wye,-96915.1563,-31854.4714
244,hougang_405node,fixed_load,residential,95,0,1,0,0,1,wye,-54019.2331,-17755.2633
245,hougang_405node,fixed_load,residential,95,0,0,1,0,1,wye,-54019.2331,-17755.2633
246,hougang_405node,fixed_load,residential,95,0,0,0,1,1,wye,-54019.2331,-17755.2633
247,hougang_405node,fixed_load,residential,96,0,1,0,0,1,wye,-75957.0308,-24965.8687
248,hougang_405node,fixed_load,residential,96,0,0,1,0,1,wye,-32553.0132,-10699.658
249,hougang_405node,fixed_load,residential,96,0,0,0,1,1,wye,-54255.022,-17832.7634
250,hougang_405node,fixed_load,residential,97,0,1,0,0,1,wye,-106414.8448,-34976.868
251,hougang_405node,fixed_load,residential,97,0,0,1,0,1,wye,-74490.3913,-24483.8076
252,hougang_405node,fixed_load,residential,97,0,0,0,1,1,wye,-138339.2982,-45469.9284
253,hougang_405node,fixed_load,industrial,98,0,1,0,0,1,wye,-49137.712,-16150.7849
254,hougang_405node,fixed_load,industrial,98,0,0,1,0,1,wye,-85990.996,-28263.8736
255,hougang_405node,fixed_load,industrial,98,0,0,0,1,1,wye,-49137.712,-16150.7849
256,hougang_405node,fixed_load,industrial,99,0,1,0,0,1,wye,-49137.712,-16150.7849
257,hougang_405node,fixed_load,industrial,99,0,0,1,0,1,wye,-61422.14,-20188.4811
258,hougang_405node,fixed_load,industrial,99,0,0,0,1,1,wye,-73706.568,-24226.1773
259,hougang_405node,fixed_load,industrial,100,0,1,0,0,1,wye,-55279.926,-18169.633
260,hougang_405node,fixed_load,industrial,100,0,0,1,0,1,wye,-55279.926,-18169.633
261,hougang_405node,fixed_load,industrial,100,0,0,0,1,1,wye,-73706.568,-24226.1773
262,hougang_405node,fixed_load,industrial,101,0,1,0,0,1,wye,-49137.712,-16150.7849
263,hougang_405node,fixed_load,industrial,101,0,0,1,0,1,wye,-85990.996,-28263.8736
264,hougang_405node,fixed_load,industrial,101,0,0,0,1,1,wye,-49137.712,-16150.7849
265,hougang_405node,fixed_load,industrial,104,0,1,0,0,1,wye,-42995.498,-14131.9368
266,hougang_405node,fixed_load,industrial,104,0,0,1,0,1,wye,-79848.782,-26245.0255
267,hougang_405node,fixed_load,industrial,104,0,0,0,1,1,wye,-61422.14,-20188.4811
268,hougang_405node,fixed_load,industrial,105,0,1,0,0,1,wye,-49137.712,-16150.7849
269,hougang_405node,fixed_load,industrial,105,0,0,1,0,1,wye,-67564.354,-22207.3292
270,hougang_405node,fixed_load,industrial,105,0,0,0,1,1,wye,-67564.354,-22207.3292
271,hougang_405node,fixed_load,industrial,106,0,1,0,0,1,wye,-64872.1758,-21322.453
272,hougang_405node,fixed_load,industrial,106,0,0,1,0,1,wye,-57664.1562,-18953.2916
273,hougang_405node,fixed_load,industrial,106,0,0,0,1,1,wye,-93704.2539,-30799.0988
274,hougang_405node,fixed_load,residential,107,0,1,0,0,1,wye,-59521.6814,-19563.8306
275,hougang_405node,fixed_load,residential,107,0,0,1,0,1,wye,-46294.6411,-15216.3127
276,hougang_405node,fixed_load,residential,107,0,0,0,1,1,wye,-92589.2821,-30432.6253
277,hougang_405node,fixed_load,residential,108,0,1,0,0,1,wye,-79362.2418,-26085.1074
278,hougang_405node,fixed_load,residential,108,0,0,1,0,1,wye,-79362.2418,-26085.1074
279,hougang_405node,fixed_load,residential,108,0,0,0,1,1,wye,-39681.1209,-13042.5537
280,hougang_405node,fixed_load,residential,109,0,1,0,0,1,wye,-52908.1612,-17390.0716
281,hougang_405node,fixed_load,residential,109,0,0,1,0,1,wye,-92589.2821,-30432.6253
282,hougang_405node,fixed_load,residential,109,0,0,0,1,1,wye,-52908.1612,-17390.0716
283,hougang_405node,fixed_load,industrial,110,0,1,0,0,1,wye,-73706.568,-24226.1773
284,hougang_405node,fixed_load,industrial,110,0,0,1,0,1,wye,-119773.173,-39367.5382
