definition_name,time_period,value
fixed_ev_charger_generic,01T08:30,0.215986394557823
fixed_ev_charger_generic,01T09:00,0.288737717309146
fixed_ev_charger_generic,01T09:30,0.32464096749811
fixed_ev_charger_generic,01T10:00,0.377551020408163
fixed_ev_charger_generic,01T10:30,0.437641723356009
fixed_ev_charger_generic,01T11:00,0.493197278911564
fixed_ev_charger_generic,01T11:30,0.571995464852608
fixed_ev_charger_generic,01T12:00,0.677059712773998
fixed_ev_charger_generic,01T12:30,0.79724111866969
fixed_ev_charger_generic,01T13:00,0.89021164021164
fixed_ev_charger_generic,01T13:30,0.932728647014361
fixed_ev_charger_generic,01T14:00,0.957671957671957
fixed_ev_charger_generic,01T14:30,0.968820861678005
fixed_ev_charger_generic,01T15:00,0.982237339380196
fixed_ev_charger_generic,01T15:30,1.0
fixed_ev_charger_generic,01T16:00,0.931783824640968
fixed_ev_charger_generic,01T16:30,0.8140589569161
fixed_ev_charger_generic,01T17:00,0.776832955404383
fixed_ev_charger_generic,01T17:30,0.764361300075585
fixed_ev_charger_generic,01T18:00,0.740929705215419
fixed_ev_charger_generic,01T18:30,0.71012849584278
fixed_ev_charger_generic,01T19:00,0.675925925925924
fixed_ev_charger_generic,01T19:30,0.609410430839001
fixed_ev_charger_generic,01T20:00,0.526643990929705
fixed_ev_charger_generic,01T20:30,0.410241874527589
fixed_ev_charger_generic,01T21:00,0.331065759637188
fixed_ev_charger_generic,01T21:30,0.299508692365835
fixed_ev_charger_generic,01T22:00,0.278155706727135
fixed_ev_charger_generic,01T22:30,0.274754346182917
fixed_ev_charger_generic,01T23:00,0.270786092214663
fixed_ev_charger_generic,01T23:30,0.255668934240363
power_residential_ISGT,01T00:00,0.396506087877184
power_residential_ISGT,01T00:30,0.396506087877184
power_residential_ISGT,01T01:00,0.264160931709899
power_residential_ISGT,01T01:30,0.264160931709899
power_residential_ISGT,01T02:00,0.215987294865008
power_residential_ISGT,01T02:30,0.215987294865008
power_residential_ISGT,01T03:00,0.206987824245633
power_residential_ISGT,01T03:30,0.206987824245633
power_residential_ISGT,01T04:00,0.202752779248279
power_residential_ISGT,01T04:30,0.202752779248279
power_residential_ISGT,01T05:00,0.211752249867655
power_residential_ISGT,01T05:30,0.211752249867655
power_residential_ISGT,01T06:00,0.295394388565378
